stockid,year,catch,BdivBmsy,FdivFmsy
BLKMARLINIO,1957,1670,2.54,0.087
BLKMARLINIO,1958,1560,2.53,0.082
BLKMARLINIO,1959,1540,2.52,0.081
BLKMARLINIO,1960,1730,2.51,0.091
BLKMARLINIO,1961,1760,2.5,0.093
BLKMARLINIO,1962,1900,2.5,0.1
BLKMARLINIO,1963,1310,2.5,0.07
BLKMARLINIO,1964,1600,2.5,0.085
BLKMARLINIO,1965,1370,2.5,0.073
BLKMARLINIO,1966,1300,2.51,0.068
BLKMARLINIO,1967,1500,2.51,0.079
BLKMARLINIO,1968,2120,2.51,0.115
BLKMARLINIO,1969,2080,2.51,0.114
BLKMARLINIO,1970,2290,2.51,0.132
BLKMARLINIO,1971,1650,2.51,0.097
BLKMARLINIO,1972,1250,2.51,0.077
BLKMARLINIO,1973,801,2.5,0.05
BLKMARLINIO,1974,1380,2.5,0.087
BLKMARLINIO,1975,1220,2.5,0.083
BLKMARLINIO,1976,658,2.5,0.047
BLKMARLINIO,1977,659,2.51,0.043
BLKMARLINIO,1978,789,2.51,0.054
BLKMARLINIO,1979,748,2.51,0.05
BLKMARLINIO,1980,1320,2.52,0.079
BLKMARLINIO,1981,1080,2.52,0.065
BLKMARLINIO,1982,2150,2.52,0.065
BLKMARLINIO,1983,2400,2.51,0.066
BLKMARLINIO,1984,2160,2.5,0.065
BLKMARLINIO,1985,2090,2.48,0.065
BLKMARLINIO,1986,2240,2.47,0.06
BLKMARLINIO,1987,2470,2.46,0.08
BLKMARLINIO,1988,2320,2.45,0.07
BLKMARLINIO,1989,2340,2.43,0.07
BLKMARLINIO,1990,2260,2.43,0.08
BLKMARLINIO,1991,2480,2.44,0.06
BLKMARLINIO,1992,3670,2.43,0.09
BLKMARLINIO,1993,4090,2.43,0.1
BLKMARLINIO,1994,5960,2.41,0.13
BLKMARLINIO,1995,5070,2.37,0.12
BLKMARLINIO,1996,5930,2.32,0.14
BLKMARLINIO,1997,6870,2.29,0.17
BLKMARLINIO,1998,5610,2.24,0.15
BLKMARLINIO,1999,6170,2.15,0.18
BLKMARLINIO,2000,8020,2.03,0.22
BLKMARLINIO,2001,7620,1.9,0.23
BLKMARLINIO,2002,6990,1.79,0.24
BLKMARLINIO,2003,8920,1.78,0.33
BLKMARLINIO,2004,12900,1.76,0.43
BLKMARLINIO,2005,11000,1.68,0.4
BLKMARLINIO,2006,11300,1.7,0.4
BLKMARLINIO,2007,9540,1.74,0.34
BLKMARLINIO,2008,10200,1.8,0.35
BLKMARLINIO,2009,11000,1.95,0.34
BLKMARLINIO,2010,9680,2.07,0.3
BLKMARLINIO,2011,11200,2.17,0.35
BLKMARLINIO,2012,13300,2.26,0.33
BLKMARLINIO,2013,14600,2.32,0.38
